time,Gli2,Hif1a,Rel,Aanat,Clock,Per1,Per2,Tef-1,Fos,Nfkb1,Arid3A,Atf1,Bach1,E2F6,Egr1,Stat3,Hdac1,Mafk,Mxi1,Phf8,Polr2A,Rcor1,Srebf1,Zmiz1
74,2.029635079,96.79391254,1.507568665,26.46007245,11.54072071,7.804256031,1.165694675,23.02464868,12.37373771,15.92958697,3.363183952,26.57181574,0.369993973,23.13456923,6.079834046,24.27919874,64.70110482,4.566353639,25.93360696,7.661453669,16.87589139,15.61762741,29.70338754,20.49667692
75,3.189227109,161.2697482,1.593112035,31.59843434,20.9671005,9.116782944,1.719908857,18.91653987,18.74602235,20.05149863,3.450407276,26.68140672,1.677695657,24.83138751,4.651905651,35.60364018,52.51908905,3.760390518,27.20089105,15.57065864,39.8612057,16.27730252,29.10844442,26.41184082
76,3.864417961,128.9563886,2.711961939,18.93140687,17.68056714,10.91217762,2.442984751,23.27076899,20.73419725,24.32481781,4.200286183,21.03688921,2.02699772,20.70555461,2.68380259,37.62145648,55.25300474,5.526921573,29.7548194,17.60164312,44.93963272,14.90624208,40.4524131,31.98132425
77,0.872434501,39.86372202,0.602346841,39.96209546,5.875446024,7.746297928,0.866063278,25.93184764,4.665505853,8.978786264,1.371772547,16.94200592,0.055006715,14.27280221,13.43485421,20.53870997,51.78426594,4.35891825,21.88225391,3.286772204,16.0561219,11.69650231,23.47489714,16.9339636
78,3.07032333,138.3573117,2.302200038,15.75189499,20.04739857,7.164169048,1.707839903,20.55555498,22.47144278,22.13470652,4.020770503,24.41125902,1.608858595,26.37121708,5.560585394,31.95940296,50.75148441,4.073457912,26.84337111,17.25584195,42.12686678,16.87616716,29.79103949,29.24283878
79,3.965775274,145.1011729,1.740922522,13.60783713,18.84847448,6.515532264,1.271345442,22.29675895,12.48590486,21.66044738,3.392714411,25.23955183,1.469190826,27.07851054,4.956959991,28.29982004,52.60786141,4.271677568,28.88350144,16.22641033,41.17609327,16.28276744,31.19281117,28.88483867
80,1.823015698,89.47889423,0.65566768,21.35608659,10.20347586,6.78935462,1.053569413,20.69889158,13.73977619,15.04698814,2.350891458,29.02645876,0.060343791,22.2404957,2.989389005,24.01393983,63.58386256,4.661871571,34.24770291,6.85036128,13.96754903,18.49501092,24.9246118,20.14919312
81,3.891029147,138.3395233,2.798903,38.62325275,21.43610562,5.562776911,1.673473163,26.96920168,12.10835742,24.1090074,3.080053728,20.67414491,2.204530069,20.55122979,4.877128509,44.54395825,52.50396172,5.618969728,25.43942066,17.88609912,55.15497965,12.96502921,37.01808076,49.72289784
82,4.11194513,140.6140569,2.121140606,11.05738248,19.24908639,9.864866691,2.263240766,24.06197005,10.96056136,21.24364016,3.466266621,28.24899258,1.735264778,24.71855159,10.97870979,30.44129776,53.75315025,4.770895648,24.88644176,15.02379123,46.7796953,14.4056686,32.60366884,30.28830828
83,3.17302441,90.90648346,1.125580129,24.27237851,11.05175329,7.093601121,1.177061357,21.64188937,13.33896275,19.18183415,3.633039908,21.87025002,0.583183271,22.51790059,3.3947209,26.93313111,61.64604503,4.770417106,33.6066158,10.01775,24.42415542,16.4661621,32.36857129,21.55503409
84,1.296325769,92.98356377,0.818585528,22.05563097,10.80801783,5.056442548,0.871457652,22.74374946,12.72596217,18.05458056,2.75702827,28.12503044,0.296983753,21.20528749,3.824007684,22.32157445,61.83587644,4.215577548,24.89027705,8.039702835,14.71378193,15.8117017,25.12717715,19.61069864
